title,genres,tags,1_star_votes,2_star_votes,3_star_votes,4_star_votes,5_star_votes,overall_rates
Privileged Player,"['Action', 'Adventure', 'Fantasy', 'Harem']","['Cheats', 'Game Elements', 'Level System', 'Male Protagonist', 'Overpowered Protagonist', 'Transported to Another World', 'Weak to Strong']",8,1,5,5,15,3.5
The Skill of Dragon Breaking the Nine Heavens,['Xuanhuan'],"['Cultivation', 'Doctors', 'Male Protagonist', 'Medical Knowledge', 'Military', 'Poisons', 'Revenge', 'Second Chance']",0,1,1,0,2,3.8
After the Full-Level Boss is Reborn,"['Action', 'Drama', 'Romance', 'Xianxia', 'Yuri']","['Antihero Protagonist', 'Beautiful Female Lead', 'Cold Protagonist', 'Cultivation', 'Demons', 'Female Protagonist', 'Master-Disciple Relationship', 'Multiple Personalities', 'Protagonist Strong from the Start', 'Reincarnation', 'Revenge', 'Ruthless Protagonist', 'Strong Love Interests', 'Tragic Past', 'Transmigration', 'Unconditional Love']",1,2,6,1,14,4.0
The King’s Game,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Yaoi']","['Ancient Times', 'Calm Protagonist', 'Childcare', 'Childhood Love', 'Cold Love Interests', 'Cute Protagonist', 'Cute Story', 'Devoted Love Interests', 'Doting Love Interests', 'Easy Going Life', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Loyal Subordinates', 'Magical Technology', 'Modern Knowledge', 'Mythical Beasts', 'Outer Space', 'Overpowered Protagonist', 'Strong Love Interests', 'System Administrator', 'Transmigration', 'Unconditional Love', 'World Hopping']",15,23,44,58,155,4.1
Jin Se,"['Shounen Ai', 'Xianxia', 'Romance']","['Age Progression', 'Ancient Times', 'Animal Characteristics', 'Army', 'Astrologers', 'Calm Protagonist', 'Character Growth', 'Childhood Friends', 'Clever Protagonist', 'Cultivation', 'Dark', 'Demon Lord', 'Demons', 'Destiny', 'Determined Protagonist', 'Divination', 'Enemies Become Lovers', 'Fox Spirits', 'Friends Become Enemies', 'Handsome Male Lead', 'Heavenly Tribulation', 'Human-Nonhuman Relationship', 'Long Separations', 'Love Interest Falls in Love First', 'Magic', 'Magic Formations', 'Misunderstandings', 'Obsessive Love', 'Past Trauma', 'Personality Changes', 'Politics', 'Possessive Characters', 'R*pe Victim Becomes Lover', 'Rebellion', 'Revenge', 'R*pe', 'Ruthless Protagonist', 'Stoic Characters', 'Strong Love Interests', 'Time Skip', 'Twisted Personality', 'Unique Weapon User', 'Unreliable Narrator', 'Wars', 'Yandere']",7,10,16,15,61,4.0
Full-time Lottery System,"['Action', 'Comedy', 'Mature', 'Sci-fi']","['Beautiful Female Lead', 'Handsome Male Lead', 'Jack of All Trades', 'Lottery', 'Male Protagonist', 'Poor Protagonist', 'Poor to Rich', 'System Administrator']",4,1,3,2,1,2.5
Demon Sword Maiden,"['Martial Arts', 'Yuri', 'Mystery', 'Shoujo Ai', 'Gender Bender', 'Action', 'Ecchi', 'Fantasy']","['Amnesia', 'Ancient Times', 'Beautiful Female Lead', 'Cultivation', 'Demon Lord', 'Demons', 'Devoted Love Interests', 'Familiars', 'Famous Protagonist', 'Female Protagonist', 'Ghosts', 'God Protagonist', 'Gods', 'Gore', 'Loli', 'Male to Female', 'Master-Disciple Relationship', 'Master-Servant Relationship', 'Monsters', 'Mythology', 'Near-Death Experience', 'Onmyouji', 'Poor to Rich', 'Possessive Characters', 'Reincarnated in Another World', 'Reincarnation', 'Schemes And Conspiracies', 'Shikigami', 'Soul Power', 'Souls', 'Strong Love Interests', 'Strong to Stronger', 'Sudden Strength Gain', 'Sword Wielder', 'Time Manipulation', 'Transported to Another World', 'Tsundere', 'Weak to Strong', 'Yandere']",27,20,23,21,149,4.0
Destined Marriage of Shang Jun,"['Drama', 'Gender Bender', 'Action', 'Martial Arts', 'Romance']","['Ancient China', 'Cross-dressing', 'Female Protagonist', 'Love Interest Falls in Love First', 'Love Triangles']",9,3,3,0,28,3.8
Wild Princess: Marrying an Ugly Prince,"['Historical', 'Josei', 'Romance']","['Ancient China', 'Early Romance', 'Female Protagonist', 'Imperial Harem', 'Royalty', 'Transmigration']",10,3,3,2,14,3.2
My House of Horrors,"['Action', 'Adventure', 'Horror', 'Mature', 'Mystery', 'Seinen', 'Supernatural']","['Absent Parents', 'Adapted to Manhua', 'Amnesia', 'Amusement Park', 'Average-looking Protagonist', 'Business Management', 'Calm Protagonist', 'Cannibalism', 'Carefree Protagonist', 'Charming Protagonist', 'Cheats', 'Clever Protagonist', 'Comedic Undertone', 'Crime', 'Dark', 'Death of Loved Ones', 'Detectives', 'Determined Protagonist', 'Doctors', 'Dolls/Puppets', 'Enemies Become Allies', 'Evil Organizations', 'Famous Protagonist', 'Game Elements', 'Ghosts', 'Gore', 'Hidden Abilities', 'Human-Nonhuman Relationship', 'Investigations', 'Loyal Subordinates', 'Male Protagonist', 'Manipulative Characters', 'Marriage', 'Misunderstandings', 'Modern Day', 'Multiple POV', 'Murders', 'Mutations', 'Mysterious Family Background', 'Mysterious Past', 'Mystery Solving', 'Pets', 'Police', 'Possession', 'Proactive Protagonist', 'Psychopaths', 'Quirky Characters', 'Romantic Subplot', 'Secret Organizations', ' ""Seeing Things Other Humans Can\'t"",Sentient Objects', 'Serial Killers', 'Shameless Protagonist', 'Skill Assimilation', 'Slow Romance', 'Special Abilities', 'Spirits', 'Strong Love Interests', 'Thriller', 'Unique Weapon User', 'Yandere']",22,4,26,43,411,4.6
From Cultivator to Widow,"['Slice of Life', 'Fantasy']","['Family', 'Female Protagonist', 'Reincarnated in Another World', 'Time Travel', 'Transmigration']",2,0,0,4,6,4.0
My Fake System,"['Gender Bender', 'Comedy', 'Action', 'Shoujo']","['Adventurers', 'Cultivation', 'Game Elements', 'Game Ranking System', 'Male Protagonist', 'Transported into a Game World']",2,2,1,1,3,3.1
Above the Firmament: Legend of Skyrim,"['Action', 'Mature', 'Romance', 'Sci-fi', 'Smut', 'Yaoi']","['Aliens', 'Artificial Intelligence', 'Bisexual Protagonist', 'Black Belly', 'Carefree Protagonist', 'Charismatic Protagonist', 'Charming Protagonist', 'Childhood Friends', 'Cold Love Interests', 'Comedic Undertone', 'Dense Protagonist', 'Devoted Love Interests', 'Earth Invasion', 'Fearless Protagonist', 'Futuristic Setting', 'Genius Protagonist', 'Handsome Male Lead', 'Heroes', 'Jealousy', 'Love Interest Falls in Love First', 'Military', 'Obsessive Love', 'Older Love Interests', 'Outer Space', 'Popular Love Interests', 'Possessive Characters', 'Post-apocalyptic', 'Scientists', 'Selfless Protagonist', 'Strong Love Interests', 'Tsundere', 'Wars']",1,6,3,1,7,3.4
Home of the Unusual Creatures,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Horror', 'Mystery', 'Sci-fi', 'Supernatural']","['Apartment Life', 'Cheats', 'Fantasy Creatures', 'Ghosts', 'Male Protagonist', 'Modern Day']",4,2,1,1,6,3.2
"After Regenerating Into An Omega, Everyone Is Dying To Marry Me","['Adventure', 'Comedy', 'Harem', 'Romance', 'Yaoi']","['Childhood Friends', 'Childhood Love', 'College/University', 'Couple Growth', 'Dense Protagonist', 'Doting Love Interests', 'Enemies Become Lovers', 'Love Interest Falls in Love First', 'Misunderstandings', 'Modern Day', 'Omegaverse', 'Parallel Worlds', 'Possessive Characters', 'Second Chance', 'Sickly Characters', 'Straight Uke', 'Strong Love Interests', 'Tsundere', 'Wealthy Characters']",6,5,8,8,36,4.0
When Rabbit Met Wolf,"['Comedy', 'Romance', 'Smut']","['Boss-Subordinate Relationship', 'Female Protagonist', 'Modern Day', 'Office Romance']",3,5,5,2,8,3.3
Tender,"['School Life', 'Slice of Life', 'Romance']","['Black Belly', 'College/University', 'Female Protagonist', 'Manipulative Characters', 'Naive Protagonist', 'Popular Love Interests', 'Possessive Characters']",1,2,5,2,15,4.1
"After Taken as a Prisoner of War, the Vampire Queen Turned Me Into a Vampire and Made Me Her Daughter","['Psychological', 'Mystery', 'Drama', 'Supernatural', 'Gender Bender', 'Comedy', 'Action', 'Tragedy', 'Martial Arts', 'Fantasy']","['Adapted to Manhua', 'Beautiful Female Lead', 'Demi-Humans', 'Depictions of Cruelty', 'Female Protagonist', 'Former Hero', 'Hiding True Abilities', 'Hiding True Identity', 'Knights', 'Loli', 'Male to Female', 'Modern Day', 'Multiple POV', 'Past Plays a Big Role', 'Protagonist Strong from the Start', 'Race Change', 'Royalty', 'Secret Organizations', 'Shoujo-Ai Subplot', 'Special Abilities', 'Strong to Stronger', 'Sword And Magic', 'Sword Wielder', 'Time Skip', 'Transformation Ability', 'Vampires', 'Wars']",19,13,19,20,154,4.2
Bringing a Son to Marry a Giant,"['Drama', 'Romance', 'Yaoi']","['Cute Children', 'Long Separations', 'Misunderstandings', 'Mpreg', 'Multiple POV', 'Multiple Protagonists', 'Twins', 'Wealthy Characters']",5,4,9,1,26,3.9
Become the Apex of the Black Tyrant CEO,"['Drama', 'Fantasy', 'Mature', 'Romance', 'Sci-fi', 'Supernatural']","['Abandoned Children', 'Beautiful Female Lead', 'Businessmen', 'Death', 'Devoted Love Interests', 'Doting Love Interests', 'Female Protagonist', 'First Love', 'First-time Interc**rse', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Male Yandere', 'Marriage', 'Modern Day', 'Multiple Identities', 'Multiple Transported Individuals', 'Obsessive Love', 'Past Plays a Big Role', 'Past Trauma', 'Possessive Characters', 'Strong Love Interests', 'System Administrator', 'Time Skip', 'Transmigration']",7,6,22,19,27,3.7
Reborn as a Werewolf Ancestor,"['Action', 'Adventure', 'Fantasy']","['Bloodlines', 'Fantasy World', 'Sword And Magic']",0,0,2,0,2,4.0
Reborn Top Student and Sweet Little Wife,"['School Life', 'Comedy', 'Josei', 'Romance']","['Beautiful Female Lead', 'Calm Protagonist', 'Disabilities', 'Female Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Love Interest Falls in Love First', 'Modern Day', 'Pregnancy', 'Reincarnation', 'Revenge', 'Strong Love Interests', 'Wealthy Characters']",7,6,3,5,12,3.3
Godly Talented Doctor,"['Xuanhuan', 'Drama', 'Supernatural', 'Adventure', 'Comedy', 'Action', 'Martial Arts', 'Fantasy', 'Romance']","['Alchemy', 'Arrogant Characters', 'Beautiful Female Lead', 'Black Belly', 'Cultivation', 'Doctors', 'Female Protagonist', 'Genius Protagonist', 'Hidden Abilities', 'Hiding True Abilities', 'Medical Knowledge', 'Schemes And Conspiracies', 'Special Abilities', 'Transmigration', 'Unique Cultivation Technique']",1,4,3,1,4,3.2
The Wind and Snow,"['Action', 'Adventure', 'Fantasy']","['Calm Protagonist', 'Carefree Protagonist', 'Fanfiction', 'God Protagonist', 'Loli', 'Male Protagonist', 'Overpowered Protagonist', 'Pirates', 'Playful Protagonist', 'Transported to Another World']",1,0,0,0,1,3.0
The Village Doctress,"['Action', 'Drama', 'Fantasy']","['Ancient China', 'Beautiful Female Lead', 'Doctors', 'Female Protagonist', 'Medical Knowledge', 'Past Plays a Big Role', 'Transported to Another World']",1,0,3,2,6,4.0
Reborn In The ’80s,"['Shounen Ai', 'Slice of Life']","['Business Management', 'Childcare', 'Confident Protagonist', 'Cute Children', 'Doting Love Interests', 'Doting Parents', 'Family', 'Family Business', 'Farming', 'Handsome Male Lead', 'Heartwarming', 'Love Interest Falls in Love First', 'Modern Knowledge', 'Money Grubber', 'Mpreg', 'Older Love Interests', 'Polite Protagonist', 'Poor Protagonist', 'Poor to Rich', 'Pregnancy', 'Single Parent', 'Slow Romance', 'Store Owner', 'Transmigration', 'Transplanted Memories']",5,5,11,26,56,4.2
The Rice Pot Next Door,"['Comedy', 'Drama', 'Josei', 'Romance']","['Adapted to Manhua', 'Beautiful Female Lead', 'Determined Protagonist', 'Doting Love Interests', 'Female Protagonist', 'Handsome Male Lead', 'Jealousy', 'Love Interest Falls in Love First', 'Misunderstandings', 'Modern Day', 'Pets', 'Younger Love Interests']",12,4,8,55,199,4.5
Fleeting Midsummer (Beijing University’s Weakest Student),"['School Life', 'Comedy', 'Josei', 'Romance']","['Adapted to Movie', 'Average-looking Protagonist', 'Bickering Couple', 'College/University', 'Dense Protagonist', 'Fat to Fit', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Misunderstandings', 'Modern Day', 'Persistent Love Interests', 'Popular Love Interests', 'Pregnancy', 'Quirky Characters', 'Tomboyish Female Lead']",17,7,25,14,94,4.0
The Villainess Female Supporting Character Raising Her Bun,"['Fantasy', 'Josei', 'Romance']","['Beautiful Female Lead', 'Business Management', 'Calm Protagonist', 'Childcare', 'Clever Protagonist', 'Complex Family Relationships', 'Cooking', 'Cute Children', 'Cute Story', 'Female Protagonist', 'Handsome Male Lead', 'Heartwarming', 'Love Interest Falls in Love First', 'Modern Day', 'Restaurant', 'Slow Romance', 'Transmigration']",9,15,55,76,89,3.9
Dancer In The Shadow,"['Martial Arts', 'Action', 'Mature', 'Fantasy']",['Male Protagonist'],1,0,2,0,0,2.3
Fifteen Years of Waiting for Migratory Birds,"['Tragedy', 'Slice of Life', 'Drama', 'Romance']","['Adapted to Drama', 'Female Protagonist']",1,0,1,2,2,3.7
"Master, Hello",['Romance'],['Female Protagonist'],3,5,3,3,6,3.2
Dissolute Wives Conquering System,"['Adult', 'Historical', 'Smut', 'Yaoi']","['BDSM', 'Bisexual Protagonist', 'Breast Fetish', 'Drugs', 'First-time Interc**rse', 'Outdoor Interc**rse', 'R*pe Victim Becomes Lover', 'R*pe', 'Seme Protagonist', 'S*x Friends', 'Shameless Protagonist', 'System Administrator', 'World Hopping']",3,2,9,2,9,3.5
Dark Blue and Moonlight,"['Drama', 'Adult', 'Shounen Ai', 'Slice of Life', 'Romance']","['Adapted to Drama', 'Love Triangles', 'Modern Day']",6,1,2,0,8,3.2
Reincarnating to Become a Japanese Chef God,"['Comedy', 'Slice of Life', 'Fantasy', 'Supernatural']","['Cooking', 'Fanfiction', 'Game Elements', 'Male Protagonist']",15,0,2,2,12,2.9
Peach Blossom Debt,"['Drama', 'Romance', 'Xianxia', 'Yaoi']","['Ancient China', 'Clever Protagonist', 'Cultivation', 'Destiny', 'Famous Protagonist', 'Fox Spirits', 'Friendship', 'God Protagonist', 'Gods', 'Handsome Male Lead', 'Immortals', 'Kind Love Interests', 'Misunderstandings', 'Multiple Reincarnated Individuals', 'Mythology', 'Past Plays a Big Role', 'Reincarnation', 'Seme Protagonist', 'Slow Romance', 'Transmigration', 'Unconditional Love']",10,11,17,37,134,4.3
My CEO Goes OoC,"['Shounen Ai', 'Comedy', 'Romance']","['Boss-Subordinate Relationship', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Modern Day', 'Office Romance', 'Oneshot', 'Schemes And Conspiracies', 'Seme Protagonist']",2,5,19,10,8,3.4
Wan Wu Sang Zhi,"['Adult', 'Mature', 'Romance', 'Smut', 'Yaoi']","['Abandoned Children', 'Adapted to Manhua', 'Adopted Protagonist', 'Arrogant Characters', 'Awkward Protagonist', 'Black Belly', 'Cautious Protagonist', 'Criminals', 'Death', 'Emotionally Weak Protagonist', 'Familial Love', 'First Love', 'First-time Interc**rse', 'Flashbacks', 'F*llatio', 'Gangs', 'Gore', 'Handsome Male Lead', 'H*ndjob', 'Kidnappings', 'Male Yandere', 'Manly Gay Couple', 'M*sturbation', 'Modern Day', 'Murders', 'Nudity', 'Older Love Interests', 'Organized Crime', 'Parent Complex', 'Protagonist Falls in Love First', 'Reverse R*pe', 'Straight Seme', 'Wealthy Characters']",10,6,11,9,68,4.1
Complete Martial Arts Attributes,"['Xuanhuan', 'Adventure', 'Comedy', 'Action', 'Martial Arts', 'Fantasy']","['Adapted to Manhua', 'Alchemy', 'Aliens', 'Alternate World', 'Archery', 'Beast Companions', 'Beautiful Female Lead', 'Black Belly', 'Blacksmith', 'Body Tempering', 'Cheats', 'Cultivation', 'Dense Protagonist', 'Elemental Magic', 'Fantasy World', 'Fast Cultivation', 'Game Elements', 'Gate to Another World', 'Handsome Male Lead', 'Hiding True Abilities', 'Jack of All Trades', 'Male Protagonist', 'Modern Day', 'Monsters', 'Mythical Beasts', 'Nationalism', 'Overpowered Protagonist', 'Parallel Worlds', 'Racism', 'Shameless Protagonist', 'Slow Romance', 'Strength-based Social Hierarchy', 'Sudden Strength Gain', 'Sword And Magic', 'Unique Weapon User', 'Weak to Strong']",15,1,5,5,20,3.3
Stuttering Big Boss’s White Moonlight,"['School Life', 'Slice of Life', 'Fantasy', 'Romance']","['Beautiful Female Lead', 'Character Growth', 'Clingy Lover', 'Determined Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Female Protagonist', 'Glasses-wearing Love Interests', 'Handsome Male Lead', 'Heartwarming', 'Inferiority Complex', 'Love Interest Falls in Love First', 'Modern Day', 'Obsessive Love', 'Poor to Rich', 'Proactive Protagonist', 'Reincarnation', 'Second Chance', 'Shy Characters', 'Weak to Strong', 'Wealthy Characters']",1,5,9,11,91,4.6
Overturning the World,"['Drama', 'Historical', 'Romance', 'Tragedy']","['Death of Loved Ones', 'Loneliness', 'Long Separations', 'Marriage of Convenience', 'Royalty', 'Short Story', 'Unconditional Love']",8,1,13,8,34,3.9
Lovers Always on the Counterattack,"['School Life', 'Yaoi', 'Supernatural', 'Adventure', 'Comedy', 'Slice of Life', 'Fantasy', 'Romance']","['Amnesia', 'Ancient China', 'Apocalypse', 'Beast Companions', 'Beasts', 'Black Belly', 'Body Swap', 'Body Tempering', 'Celebrities', 'Child Protagonist', 'Childhood Friends', 'Childhood Love', 'Cold Love Interests', 'Cold Protagonist', 'College/University', 'Couple Growth', 'Court Official', 'Cultivation', 'Cute Protagonist', 'Fantasy World', 'Fast Cultivation', 'Fast Learner', 'Game Elements', 'Gamers', 'Ghosts', 'Incest', 'Love at First Sight', 'Love Rivals', 'Lovers Reunited', 'Magic', 'Modern Day', 'Modern Knowledge', 'Multiple POV', 'Omegaverse', 'Online Romance', 'Popular Love Interests', 'Post-apocalyptic', 'Priests', 'Ruthless Protagonist', 'Schemes And Conspiracies', 'Siblings Not Related by Blood', 'Slow Growth at Start', 'Slow Romance', 'Transmigration', 'Vampires', 'World Hopping', 'World Travel', 'Zombies']",15,23,27,31,105,3.9
Diary of a Monkey,['Romance'],"['Oneshot', 'Parody']",1,2,8,1,3,3.2
World Controlling God,"['Mature', 'Xuanhuan', 'Harem', 'Adventure', 'Action', 'Martial Arts', 'Fantasy']","['Adapted to Manhua', 'Alchemy', 'Arrogant Characters', 'Beast Companions', 'Body Tempering', 'Cultivation', 'Fast Cultivation', 'Half-human Protagonist', 'Handsome Male Lead', 'Harsh Training', 'Male Protagonist', 'Multiple Realms', 'Pill Concocting', 'Polygamy', 'Previous Life Talent', 'Romantic Subplot', 'Shameless Protagonist', 'Transmigration', 'Transported to Another World', 'Weak to Strong']",26,12,15,19,72,3.7
The Longest Day in Chang’an,"['Action', 'Adventure', 'Drama', 'Historical', 'Mystery']","['Acting', 'Adapted to Drama', 'Adventurers', 'Ancient China', 'Handsome Male Lead', 'Male Protagonist', 'Mystery Solving', 'Slow Romance']",4,1,2,4,14,3.9
The Blessing of Odin,"['Fantasy', 'Josei', 'Romance', 'Xuanhuan']",[''],0,0,0,1,2,4.7
Rebirth of the Film Emperor’s Beloved Wife,"['Drama', 'Supernatural', 'Josei', 'Martial Arts', 'Romance']","['Acting', 'Awkward Protagonist', 'Beautiful Female Lead', 'Betrayal', 'Boss-Subordinate Relationship', 'Business Management', 'Calm Protagonist', 'Celebrities', 'Childcare', 'Cold Love Interests', 'Cold Protagonist', 'Comedic Undertone', 'Cooking', 'Couple Growth', 'Dense Protagonist', 'Devoted Love Interests', 'Different Social Status', 'Doting Love Interests', 'Familial Love', 'Family Business', 'Famous Protagonist', 'Female Protagonist', 'First Love', 'Game Elements', 'Handsome Male Lead', 'Heartwarming', 'Level System', 'Love Interest Falls in Love First', 'Magical Space', 'Marriage of Convenience', 'Modern Day', 'Mysterious Family Background', 'Orphans', 'Overprotective Siblings', 'Pets', 'Popular Love Interests', 'Possessive Characters', 'Power Couple', 'Pregnancy', 'Reincarnation', 'Revenge', 'Second Chance', 'Secret Relationship', 'Showbiz', 'Sister Complex', 'Slow Romance', 'Stoic Characters', 'System Administrator', 'Twins', 'Wealthy Characters']",11,17,41,57,268,4.4
The Long-awaited Mr Han,"['Slice of Life', 'Drama', 'Romance', 'Josei']","['Acting', 'Arrogant Characters', 'Beautiful Female Lead', 'Betrayal', 'Doting Love Interests', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Misunderstandings', 'Modern Day', 'Reincarnation', 'Revenge', 'Second Chance', 'Showbiz']",10,6,10,12,21,3.5
